Word,Regex,Swearing,Sexual,Racism,Xenophobic,Sexism,Other
2girls1cup,,0,1,0,0,1,1
2g1c,,0,1,0,0,1,1
4r5e,,1,1,0,0,0,0
5h1t,,1,0,0,0,0,0
5hit,,1,0,0,0,0,0
a2m,,1,1,0,0,0,0
a54,,,,,,,
aeolus,,,,,,,
ahole,,1,1,0,0,0,0
alabamahotpocket,,,,,,,
alaskanpipeline,,,,,,,
anal,,1,0,0,0,0,0
analimpaler,,0,1,0,0,0,0
analleakage,,0,1,0,0,0,0
analannie,,0,1,0,0,1,0
analprobe,,0,1,0,0,0,0
analsex,,0,1,0,0,0,0
anilingus,,0,1,0,0,0,0
anus,,0,1,0,0,0,0
apeshit,,1,0,0,0,0,0
ar5e,,1,0,0,0,0,0
areola,,0,1,0,0,0,0
areole,,0,1,0,0,0,0
arian,,0,0,1,0,0,0
arrse,,1,1,0,0,0,0
arse,,1,1,0,0,0,0
arsehole,,1,1,0,0,0,0
aryan,,0,0,1,0,0,0
ass,,1,1,0,0,0,0
assfuck,,1,1,0,0,0,0
asshole,,1,1,0,0,0,0
assault,,0,0,0,0,0,0
assbag,,1,1,0,0,0,0
assbagger,,1,1,0,0,0,0
assbandit,,1,1,0,0,0,0
assbang,,1,1,0,0,0,0
assbanged,,1,1,0,0,0,0
assbanger,,1,1,0,0,0,0
assbangs,,1,1,0,0,0,0
assbite,,1,1,0,0,0,0
assblaster,,1,1,0,0,0,0
assclown,,1,1,0,0,0,0
asscock,,1,1,0,0,0,0
asscracker,,1,1,0,0,0,0
asses,,1,1,0,0,0,0
assface,,1,1,0,0,0,0
assfaces,,1,1,0,0,0,0
assfuck,,1,1,0,0,0,0
assfucker,,1,1,0,0,0,0
assfucker,,1,1,0,0,0,0
assfukka,,1,1,0,0,0,0
assgoblin,,1,1,0,0,0,0
assh0le,,1,1,0,0,0,0
asshat,,1,1,0,0,0,0
asshat,,1,1,0,0,0,0
asshead,,1,1,0,0,0,0
assho1e,,1,1,0,0,0,0
asshole,,1,1,0,0,0,0
assholes,,1,1,0,0,0,0
asshopper,,1,1,0,0,0,0
asshore,,1,1,0,0,0,0
assjabber,,1,1,0,0,0,0
assjacker,,1,1,0,0,0,0
assjockey,,1,1,0,0,0,0
asskiss,,1,1,0,0,0,0
asskisser,,1,1,0,0,0,0
assklown,,1,1,0,0,0,0
asslick,,1,1,0,0,0,0
asslicker,,1,1,0,0,0,0
asslover,,1,1,0,0,0,0
assman,,1,1,0,0,0,0
assmaster,,1,1,0,0,0,0
assmonkey,,1,1,0,0,0,0
assmucus,,1,1,0,0,0,0
assmunch,,1,1,0,0,0,0
assmuncher,,1,1,0,0,0,0
assnigger,,1,1,1,1,0,0
asspacker,,1,1,0,0,0,0
asspirate,,1,1,0,0,0,0
asspirate,,1,1,0,0,0,0
asspuppies,,1,1,0,0,0,0
assranger,,1,1,0,0,0,0
assshit,,1,1,0,0,0,0
assshole,,1,1,0,0,0,0
asssucker,,1,1,0,0,0,0
asswad,,1,1,0,0,0,0
asswhole,,1,1,0,0,0,0
asswhore,,1,1,0,0,0,0
asswipe,,1,1,0,0,0,0
asswipes,,1,1,0,0,0,0
autoerotic,,0,1,0,0,0,0
axwound,,,,,,,
azz,,1,1,0,0,0,0
b!tch,,1,0,0,0,0,0
b00bs,,0,1,0,0,0,0
b17ch,,1,0,0,0,0,0
b1tch,,1,0,0,0,0,0
babe,,,,,,,
babybatter,,,,,,,
babyjuice,,,,,,,
badfuck,,1,1,0,0,0,0
ballgag,,0,1,0,0,0,0
ballgravy,,0,1,0,0,0,0
ballkicking,,0,1,0,0,0,0
balllicking,,0,1,0,0,0,0
ballsack,,0,1,0,0,0,0
ballsucking,,0,1,0,0,0,0
ballbag,,0,1,0,0,0,0
balllicker,,0,1,0,0,0,0
ballsack,,0,1,0,0,0,0
bampot,,,,,,,
bangbros,,,,,,,
bareback,,0,1,0,0,0,0
barelylegal,,0,1,0,0,0,0
barface,,,,,,,
barfface,,,,,,,
bastard,,1,0,0,0,0,0
bastardo,,1,0,0,0,0,0
bastards,,1,0,0,0,0,0
bastinado,,1,0,0,0,0,0
battyboy,,,,,,,
bawdy,,,,,,,
bazongas,,0,1,0,0,0,0
bazooms,,0,1,0,0,0,0
bbw,,0,1,1,0,1,0
bdsm,,0,1,0,0,0,0
beaner,,1,0,1,1,0,0
beaners,,1,0,1,1,0,0
beardedclam,,,,,,,
beastial,,0,1,0,0,0,0
beastiality,,1,0,0,0,0,0
beatch,,,,,,,
beater,,,,,,,
beatyourmeat,,0,1,0,0,0,0
beaver,,,,,,,
beavercleaver,,,,,,,
beaverlips,,0,1,0,0,0,0
beefcurtain,,0,1,0,0,1,0
beefcurtains,,0,1,0,0,1,0
beer,,,,,,,
beeyotch,,1,0,0,0,0,0
bellend,,,,,,,
bender,,,,,,,
beotch,,1,0,0,0,0,0
bestial,,0,1,0,0,0,0
bestiality,,0,1,0,0,0,0
biatch,,1,0,0,0,0,0
bigblack,,0,0,0,0,0,0
bigbreasts,,0,1,0,0,0,0
bigknockers,,0,1,0,0,0,0
bigtits,,0,1,0,0,0,0
bigbastard,,1,0,0,0,0,0
bigbutt,,0,1,0,0,0,0
bigtits,,0,1,0,0,0,0
bimbo,,0,1,0,0,1,0
bimbos,0,1,0,0,0,1,0
bint,,,,,,,
birdlock,,,,,,,
bitch,,1,0,0,0,0,0
bitchtit,,1,0,0,0,0,0
bitchass,,1,1,0,0,0,0
bitched,,1,0,0,0,0,0
bitcher,,1,0,0,0,0,0
bitchers,,1,0,0,0,0,0
bitches,,1,0,0,0,0,0
bitchez,,1,0,0,0,0,0
bitchin,,1,0,0,0,0,0
bitching,,1,0,0,0,0,0
bitchtits,,1,1,0,0,0,0
bitchy,,1,0,0,0,0,0
blackcock,,0,1,1,0,0,0
bloodclaat,,,,,,,
bloody,,,,,,,
bloodyhell,,,,,,,
blowjob,,0,1,0,0,0,0
blowme,,0,1,0,0,0,0
blowmud,,,,,,,
blowyourload,,0,1,0,0,0,0
blowjob,,0,1,0,0,0,0
blowjobs,,0,1,0,0,0,0
bluewaffle,,0,1,0,0,0,0
blumpkin,,0,1,0,0,0,0
boang,,,,,,,
bogan,,,,,,,
bohunk,,,,,,,
boink,,,,,,,
boiolas,,,,,,,
bollick,,1,1,0,0,0,0
bollock,,1,1,0,0,0,0
bollocks,,1,1,0,0,0,0
bollok,,1,1,0,0,0,0
bollox,,1,1,0,0,0,0
bomd,,,,,,,
bondage,,0,1,0,0,0,0
boner,,0,1,0,0,0,0
boners,,0,1,0,0,0,0
bong,,0,0,0,0,0,1
boob,,0,1,0,0,0,0
boobies,,0,1,0,0,0,0
boobs,,0,1,0,0,0,0
booby,,0,1,0,0,0,0
bookie,,0,0,0,0,0,1
boong,,0,0,0,0,0,1
boonga,,,,,,,
booobs,,0,1,0,0,0,0
boooobs,,0,1,0,0,0,0
booooobs,,0,1,0,0,0,0
booooooobs,,0,1,0,0,0,0
bootee,,0,1,0,0,0,0
bootie,,0,1,0,0,0,0
booty,,0,1,0,0,0,0
bootycall,,0,1,0,0,0,0
booze,,0,0,0,0,0,1
boozer,,0,0,0,0,0,1
boozy,,0,0,0,0,0,1
bosom,,0,0,0,0,0,1
bosomy,,,,,,,
breast,,0,1,0,0,0,0
breastjob,,0,1,0,0,0,0
breastlover,,0,1,0,0,0,0
breastman,,0,1,0,0,0,0
breasts,,0,1,0,0,0,0
brotherfucker,,0,1,0,0,0,0
brownshowers,,,,,,,
brunetteaction,,,,,,,
buceta,,,,,,,
bugger,,,,,,,
buggered,,,,,,,
buggery,,,,,,,
bukkake,,0,1,0,0,0,0
bullshit,,1,0,0,0,0,
bullcrap,,1,0,0,0,0,0
bulldike,,0,1,0,1,1,0
bulldyke,,0,1,0,1,1,0
bulletvibe,,,,,,,
bullshit,,1,0,0,0,0,0
bullshits,,1,0,0,0,0,0
bullshitted,,1,0,0,0,0,0
bullturds,,1,0,0,0,0,0
bumboy,,,,,,,
bumblefuck,,1,0,0,0,0,0
bumclat,,,,,,,
bumfuck,,1,1,0,0,0,0
bung,,,,,,,
bunghole,,1,1,0,0,0,0
bunga,,,,,,,
bunghole,,1,1,0,0,0,0
bunnyfucker,,1,1,0,0,0,0
bustaload,,0,1,0,0,0,0
busty,,0,1,0,0,0,0
butchdike,,0,1,0,1,1,0
butchdyke,,0,1,0,1,1,0
butt,,0,1,0,0,0,0
buttfuck,,1,1,0,0,0,0
buttplug,,0,1,0,0,0,0
buttbang,,0,1,0,0,0,0
buttbang,,0,1,0,0,0,0
buttcheeks,,0,1,0,0,0,0
buttface,,0,1,0,0,0,0
buttfuck,,1,1,0,0,0,0
buttfuck,,1,1,0,0,0,0
buttfucka,,1,1,0,0,0,0
buttfucker,,1,1,0,0,0,0
buttfucker,,1,1,0,0,0,0
butthead,,1,0,0,0,0,0
butthole,,1,0,0,0,0,0
buttman,,0,1,0,0,0,0
buttmuch,,0,1,0,0,0,0
buttmunch,,0,1,0,0,0,0
buttmuncher,,0,1,0,0,0,0
buttpirate,,0,1,0,0,0,0
buttplug,,0,1,0,0,0,0
caca,,0,0,0,0,0,1
cahone,,,,,,,
cameltoe,,0,1,0,0,1,0
cameltoe,,0,1,0,0,1,0
camgirl,,0,1,0,0,0,0
camslut,,0,1,0,1,0,0
camwhore,,0,1,0,1,0,0
carpetmuncher,,0,1,0,1,0,0
carpetmuncher,,0,1,0,1,0,0
cawk,,0,1,0,0,0,0
chesticle,,0,0,0,1,0,0
chichiman,,,,,,,
chickwithadick,,0,1,0,1,1,0
childfucker,,1,1,0,0,0,0
chin,,,,,,,
chinc,,0,0,1,1,0,0
chincs,,0,0,1,1,0,0
chink,,0,0,1,1,0,0
chinky,,0,0,1,1,0,0
choad,,0,1,0,1,0,0
choade,,0,1,0,1,0,0
chocice,,,,,,,
chocolaterosebuds,,0,1,0,0,0,0
chode,,0,1,0,1,0,0
chodes,,0,1,0,1,0,0
chotabags,,,,,,,
cipa,,,,,,,
circlejerk,,0,1,0,0,0,0
cl1t,,0,1,0,0,0,0
clevelandsteamer,,0,1,0,0,0,0
climax,,0,1,0,0,0,0
clit,,0,1,0,0,0,0
clitlicker,,0,1,0,1,1,0
clitface,,0,1,0,0,0,0
clitfuck,,1,1,0,0,0,0
clitoris,,0,1,0,0,0,0
clitorus,,0,1,0,0,0,0
clits,,0,1,0,0,0,0
clitty,,0,1,0,0,0,0
clittylitter,,0,1,0,0,0,0
clogwog,,,,,,,
cloverclamps,,,,,,,
clunge,,,,,,,
clusterfuck,,1,0,0,0,0,0
cnut,,0,1,0,0,0,0
cocain,,0,0,0,0,0,1
cocaine,,0,0,0,0,0,1
cock,,0,1,0,0,0,0
cockpocket,,0,1,0,0,0,0
cocksnot,,0,1,0,0,0,0
cocksucker,,0,1,0,0,0,0
cockass,,1,1,0,0,0,0
cockbite,,0,1,0,0,0,0
cockblock,,0,1,0,0,0,0
cockburger,,0,1,0,0,0,0
cockeye,,0,1,0,0,0,0
cockface,,0,1,0,0,0,0
cockfucker,,1,1,0,0,0,0
cockhead,,0,1,0,0,0,0
cockholster,,0,1,0,1,1,0
cockjockey,,0,1,0,0,0,0
cockknocker,,0,1,0,0,0,0
cockknoker,,0,1,0,0,0,0
cocklicker,,0,1,0,0,0,0
cocklover,,0,1,0,0,0,0
cocklump,,0,1,0,0,0,0
cockmaster,,0,1,0,0,0,0
cockmongler,,0,1,0,0,0,0
cockmongruel,,0,1,0,0,0,0
cockmonkey,,0,1,0,0,0,0
cockmunch,,0,1,0,0,0,0
cockmuncher,,0,1,0,0,0,0
cocknose,,0,1,0,0,0,0
cocknugget,,0,1,0,0,0,0
cocks,,0,1,0,0,0,0
cockshit,,1,1,0,0,0,0
cocksmith,,0,1,0,0,0,0
cocksmoke,,0,1,0,0,0,0
cocksmoker,,0,1,0,0,0,0
cocksniffer,,0,1,0,0,0,0
cocksucer,,0,1,0,0,0,0
cocksuck,,0,1,0,0,0,0
cocksuck,,0,1,0,0,0,0
cocksucked,,0,1,0,0,0,
cocksucker,,0,1,0,0,0,0
cocksucker,,0,1,0,0,0,0
cocksuckers,,0,1,0,0,0,0
cocksucking,,0,1,0,0,0,0
cocksucks,,0,1,0,0,0,0
cocksuka,,0,1,0,0,0,0
cocksukka,,0,1,0,0,0,0
cockwaffle,,0,1,0,0,0,0
coffindodger,,,,,,,
coital,,0,1,0,0,0,0
cok,,0,1,0,0,0,0
cokmuncher,,0,1,0,0,0,0
coksucka,,0,1,0,0,0,0
commie,,0,0,0,1,0,1
condom,,0,1,0,0,0,0
coochie,,0,1,0,0,0,0
coochy,,0,1,0,0,0,0
coon,,0,0,1,1,0,0
coonnass,,1,1,1,1,0,0
coons,,0,0,1,1,0,0
cooter,,,,,,,
copsomewood,,0,1,0,0,0,0
coprolagnia,,,,,,,
coprophilia,,,,,,,
corksucker,,,,,,,
cornhole,,,,,,,
corpwhore,,0,1,0,0,0,0
cox,,0,1,0,0,0,0
crabs,,,,,,,
crack,,0,0,0,0,0,1
cracker,,0,0,1,1,0,0
crackwhore,,0,1,0,0,0,1
crap,,0,0,0,0,0,1
crappy,,0,0,0,0,0,1
creampie,,0,1,0,0,0,0
cretin,,,,,,,
crikey,,,,,,,
cripple,,0,0,0,1,0,0
crotte,,,,,,,
cum,,0,1,0,0,0,0
cumchugger,,0,1,0,0,0,0
cumdumpster,,0,1,0,0,0,0
cumfreak,,0,1,0,0,0,0
cumguzzler,,0,1,0,0,0,0
cumbubble,,0,1,0,0,0,0
cumdump,,0,1,0,0,0,0
cumdumpster,,0,1,0,0,0,0
cumguzzler,,0,1,0,0,0,0
cumjockey,,0,1,0,0,0,0
cummer,,,,,,,
cummin,,,,,,,
cumming,,0,1,0,0,0,0
cums,,0,1,0,0,0,0
cumshot,,0,1,0,0,0,0
cumshots,,0,1,0,0,0,0
cumslut,,0,1,0,0,0,0
cumstain,,0,1,0,0,0,0
cumtart,,0,1,0,0,0,0
cunilingus,,0,1,0,0,0,0
cunillingus,,0,1,0,0,0,0
cunn,,,,,,,
cunnie,,,,,,,
cunnilingus,,0,1,0,0,0,0
cunntt,,1,1,0,1,1,0
cunny,,,,,,,
cunt,,1,1,0,1,1,0
cunthair,,1,1,0,1,1,0
cuntass,,1,1,0,1,1,0
cuntbag,,1,1,0,1,1,0
cuntface,,1,1,0,1,1,0
cuntfuck,,1,1,0,1,1,0
cuntfucker,,1,1,0,1,1,0
cunthole,,1,1,0,1,1,0
cunthunter,,1,1,0,1,1,0
cuntlick,,1,1,0,1,1,0
cuntlick,,1,1,0,1,1,0
cuntlicker,,1,1,0,1,1,0
cuntlicker,,1,1,0,1,1,0
cuntlicking,,1,1,0,1,1,0
cuntrag,,1,1,0,1,1,0
cunts,,1,1,0,1,1,0
cuntsicle,,1,1,0,1,1,0
cuntslut,,1,1,0,1,1,0
cuntstruck,,1,1,0,1,1,0
cuntsucker,,1,1,0,1,1,0
cutrope,,1,1,0,1,1,0
cyalis,,,,,,,
cyberfuc,,1,1,0,0,0,0
cyberfuck,,1,1,0,0,0,0
cyberfucked,,1,1,0,0,0,0
cyberfucker,,1,1,0,0,0,0
cyberfuckers,,1,1,0,0,0,0
cyberfucking,,1,1,0,0,0,0
cybersex,,0,1,0,0,0,0
dago,,0,0,1,2,0,0
dagos,,0,0,1,2,0,0
dammit,,1,0,0,0,0,0
damn,,1,0,0,0,0,0
damned,,1,0,0,0,0,0
damnit,,1,0,0,0,0,0
darkie,,0,0,1,2,0,0
darn,,0,0,0,0,0,0
daterape,,0,1,0,0,0,0
daterape,,0,1,0,0,0,0
dawgiestyle,,0,1,0,0,0,0
deepthroat,,0,1,0,0,0,0
deepthroat,,0,1,0,0,0,0
deggo,,0,0,1,2,0,0
dendrophilia,,,,,,,
dick,,0,1,0,0,0,0
dickhead,,0,1,0,0,0,0
dickhole,,0,1,0,0,0,0
dickshy,,0,1,0,0,0,0
dickbag,,0,1,0,0,0,0
dickbeaters,,0,1,0,0,0,0
dickbrain,,0,1,0,0,0,0
dickdipper,,0,1,0,0,0,0
dickface,,0,1,0,0,0,0
dickflipper,,0,1,0,0,0,0
dickfuck,,1,1,0,0,0,0
dickfucker,,1,1,0,0,0,0
dickhead,,0,1,0,0,0,0
dickheads,,0,1,0,0,0,0
dickhole,,0,1,0,0,0,0
dickish,,0,1,0,0,0,0
dickjuice,,0,1,0,0,0,0
dickmilk,,0,1,0,0,0,0
dickmonger,,0,1,0,0,0,0
dickripper,,0,1,0,0,0,0
dicks,,0,1,0,0,0,0
dicksipper,,0,1,0,0,0,0
dickslap,,0,1,0,0,0,0
dicksneeze,,0,1,0,0,0,0
dicksucker,,0,1,0,0,0,0
dicksucking,,0,1,0,0,0,0
dicktickler,,0,1,0,0,0,0
dickwad,,0,1,0,0,0,0
dickweasel,,0,1,0,0,0,0
dickweed,,0,1,0,0,0,0
dickwhipper,,0,1,0,0,0,0
dickwod,,0,1,0,0,0,0
dickzipper,,0,1,0,0,0,0
diddle,,0,1,0,0,0,0
dike,,0,1,0,2,0,0
dildo,,0,1,0,0,0,0
dildos,,0,1,0,0,0,0
diligaf,,,,,,,
dillweed,,,,,,,
dingle,,,,,,,
dingleberries,,0,0,0,0,0,2
dingleberry,,0,0,0,0,0,2
dink,,,,,,,
dinks,,,,,,,
dipship,,2,0,0,0,0,0
dipshit,,1,0,0,0,0,0
dirsa,,,,,,,
dirty,,,,,,,
dirtypillows,,,,,,,
dirtysanchez,,0,1,0,0,0,0
dlck,,0,1,0,0,0,0
dogstyle,,0,2,0,0,0,0
dogfucker,,1,1,0,0,0,0
doggiestyle,,0,1,0,0,0,0
doggin,,,,,,,
dogging,,,,,,,
doggystyle,,0,1,0,0,0,0
dolcett,,,,,,,
dominatrix,,0,2,0,0,0,0
dommes,,0,2,0,0,0,0
dong,,0,1,0,0,0,0
donkeypunch,,0,1,0,0,0,0
donkeypunch,,0,1,0,0,0,0
donkeyribber,,,,,,,
doochbag,,0,2,0,0,0,0
doofus,,,,,,,
dookie,,0,0,0,0,0,2
doosh,,0,1,0,0,0,2
dopey,,,,,,,
doubledong,,0,2,0,0,0,0
doublepenetration,,0,1,0,0,0,0
doublelift,,,,,,,
douche,,0,1,0,0,0,2
douchebag,,0,1,0,0,0,2
douchebags,,0,1,0,0,0,2
douchefag,,0,1,0,2,0,2
douchewaffle,,0,1,0,0,0,2
douchey,,0,1,0,0,0,2
dpaction,,0,1,0,0,0,0
dryhump,,0,1,0,0,0,0
duche,,0,1,0,0,0,2
dumass,,1,0,0,0,0,0
dumbass,,1,0,0,0,0,0
dumbass,,1,0,0,0,0,0
dumbasses,,1,0,0,0,0,0
dumbcunt,,1,0,0,2,1,0
dumbfuck,,1,0,0,0,0
dumbshit,,1,0,0,0,0,0
dummy,,,,,,,
dumshit,,1,0,0,0,0,0
dvda,,,,,,,
dyke,,0,1,0,1,0,0
dykes,,0,1,0,1,0,0
eatadick,,0,1,0,0,0,0
eathairpie,,0,1,0,0,0,0
eatmyass,,1,1,0,0,0,0
eatpussy,,0,1,0,0,0,0
ecchi,,,,,,,
ejaculate,,0,1,0,0,0,0
ejaculated,,0,1,0,0,0,0
ejaculates,,0,1,0,0,0,0
ejaculating,,0,1,0,0,0,0
ejaculatings,,0,1,0,0,0,0
ejaculation,,0,1,0,0,0,0
ejakulate,,0,1,0,0,0,0
enlargement,,,,,,,
erect,,0,2,0,0,0,0
erection,,0,1,0,0,0,0
erotic,,0,1,0,0,0,0
erotism,,0,1,0,0,0,0
essohbee,,1,0,0,0,0,0
eunuch,,,,,,,
extacy,,,,,,,
extasy,,,,,,,
fuck,,1,0,0,0,0,0
fucker,,1,0,0,0,0,0
facefucker,,1,1,0,0,0,0
facial,,0,1,0,0,0,0
fack,,2,2,0,0,0,0
fag,,0,1,0,1,0,0
fagbag,,0,0,0,1,0,0
fagfucker,,1,1,0,1,0,0
fagg,,0,1,0,1,0,0
fagged,,0,1,0,1,0,0
fagging,,0,1,0,1,0,0
faggit,,0,1,0,1,0,0
faggitt,,0,1,0,1,0,0
faggot,,0,1,0,1,0,0
faggotcock,,0,1,0,1,0,0
faggots,,0,1,0,1,0,0
faggs,,0,1,0,1,0,0
fagot,,0,1,0,1,0,0
fagots,,0,1,0,1,0,0
fags,,0,1,0,1,0,0
fagtard,,0,1,0,1,0,0
faig,,0,1,0,1,0,0
faigt,,0,1,0,1,0,0
fanny,,0,1,0,0,0,0
fannybandit,,0,1,0,0,0,0
fannyflaps,,0,1,0,0,0,0
fannyfucker,,1,1,0,0,0,0
fany,,0,1,0,0,0,0
fart,,,,,,,
fartknocker,,,,,,,
fastfuck,,1,1,0,0,0,0
fatass,,1,0,0,2,0,0
fatfuck,,1,0,0,2,0,0
fatfucker,,1,0,0,2,0,0
fcuk,,1,0,0,0,0,0
fcuker,,1,0,0,0,0,0
fcuking,,1,0,0,0,0,0
fecal,,0,0,0,0,0,2
feck,,2,0,0,0,0,0
fecker,,1,0,0,0,0,0
felch,,,,,,,
felcher,,,,,,,
felching,,,,,,,
fellate,,,,,,,
fellatio,,0,1,0,0,0,0
feltch,,,,,,,
feltcher,,,,,,,
femalesquirting,,0,1,0,0,0,0
femdom,,,,,,,
fenian,,,,,,,
figging,,,,,,,
fingerbang,,0,1,0,0,0,0
fingerfuck,,1,1,0,0,0,0
fingerfuck,,1,1,0,0,0,0
fingerfucked,,1,1,0,0,0,0
fingerfucker,,1,1,0,0,0,0
fingerfucker,,1,1,0,0,0,0
fingerfuckers,,1,1,0,0,0,0
fingerfucking,,1,1,0,0,0,0
fingerfucks,,1,1,0,0,0,0
fingering,,0,1,0,0,0,0
fistfuck,,1,1,0,0,0,0
fisted,,0,1,0,0,0,0
fistfuck,,1,1,0,0,0,0
fistfucked,,1,1,0,0,0,0
fistfucker,,1,1,0,0,0,0
fistfucker,,1,1,0,0,0,0
fistfuckers,,1,1,0,0,0,0
fistfucking,,1,1,0,0,0,0
fistfuckings,,1,1,0,0,0,0
fistfucks,,1,1,0,0,0,0
fisting,,0,1,0,0,0,0
fisty,,,,,,,
flamer,,,,,,,
flange,,,,,,,
fleshflute,,0,1,0,0,0,0
flogthelog,,0,1,0,0,0,0
floozy,,0,1,0,0,1,0
foad,,,,,,,
foah,,,,,,,
fondle,,0,1,0,0,0,0
foobar,,1,0,0,0,0,0
fook,,1,1,0,0,0,0
fooker,,1,1,0,0,0,0
footfetish,,0,1,0,0,0,0
footfuck,,1,1,0,0,0,0
footfucker,,1,1,0,0,0,0
footjob,,0,1,0,0,0,0
footlicker,,0,1,0,0,0,0
foreskin,,0,1,0,0,0,0
freakfuck,,1,2,0,0,0,0
freakyfucker,,0,1,0,0,0,0
freefuck,,1,1,0,0,0,0
freex,,0,2,0,0,0,0
frigg,,0,1,0,0,0,0
frigga,,0,1,0,0,0,0
frotting,,0,2,0,0,0,0
fubar,,1,0,0,0,0,0
fuc,,1,1,0,0,0,0
fuck,,1,1,0,0,0,0
fuckbuttons,,1,0,0,0,0,0
